Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
spend_monitoring_report,Chrome 120.0.0.0,,,17-01-2024 15:59:58,17-01-2024 16:14:49,14m - 51.177s,PASSED
,,,,,,,
Test Cases/Spend Monitoring/test_verify_navigating_spend_monitor,Chrome 120.0.0.0,,,17-01-2024 15:59:58,17-01-2024 16:00:10,11.460s,PASSED
"callTestCase(findTestCase(""Reusable_Functions/Login""), [:], CONTINUE_ON_FAILURE)",Chrome 120.0.0.0,,,17-01-2024 15:59:58,17-01-2024 16:00:03,5.136s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Page_Verify_Navigating_Spend_Monitoring/Page_/li_Spend Monitoring""))",Chrome 120.0.0.0,,,17-01-2024 16:00:03,17-01-2024 16:00:06,2.149s,PASSED
"click(findTestObject(""Object Repository/Page_Verify_Navigating_Spend_Monitoring/Page_/li_Spend Monitoring""))",Chrome 120.0.0.0,,,17-01-2024 16:00:06,17-01-2024 16:00:06,0.344s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Verify_Navigating_Spend_Monitoring/Page_/p_Spend Monitoring Report""), 0)",Chrome 120.0.0.0,,,17-01-2024 16:00:06,17-01-2024 16:00:07,1.192s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Verify_Navigating_Spend_Monitoring/Page_/p_Spend Monitoring Report""), ""Spend Monitoring Report"")",Chrome 120.0.0.0,,,17-01-2024 16:00:07,17-01-2024 16:00:07,0.325s,PASSED
delay(2),Chrome 120.0.0.0,,,17-01-2024 16:00:07,17-01-2024 16:00:10,2.024s,PASSED
,,,,,,,
Test Cases/Spend Monitoring/test_weekly_spend_monitoring_tab,Chrome 120.0.0.0,,,17-01-2024 16:00:10,17-01-2024 16:00:11,1.701s,PASSED
"click(findTestObject(""Object Repository/Page_Weekly_Spend_Monitoring_Tab/Page_/li_Spend Monitoring""))",Chrome 120.0.0.0,,,17-01-2024 16:00:10,17-01-2024 16:00:10,0.416s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Weekly_Spend_Monitoring_Tab/Page_/div_Weekly Spends Monitoring Report""), ""Weekly Spends Monitoring Report"")",Chrome 120.0.0.0,,,17-01-2024 16:00:10,17-01-2024 16:00:10,0.355s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Page_Weekly_Spend_Monitoring_Tab/Page_/div_Weekly Spends Monitoring Report""))",Chrome 120.0.0.0,,,17-01-2024 16:00:10,17-01-2024 16:00:11,0.440s,PASSED
"click(findTestObject(""Object Repository/Page_Weekly_Spend_Monitoring_Tab/Page_/div_Weekly Spends Monitoring Report""))",Chrome 120.0.0.0,,,17-01-2024 16:00:11,17-01-2024 16:00:11,0.413s,PASSED
,,,,,,,
Test Cases/Spend Monitoring/test_weekly_spend_monitoring_calender,Chrome 120.0.0.0,,,17-01-2024 16:00:11,17-01-2024 16:05:04,4m - 52.544s,PASSED
"callTestCase(findTestCase(""Reusable_Functions/Calender""), [:], CONTINUE_ON_FAILURE)",Chrome 120.0.0.0,,,17-01-2024 16:00:11,17-01-2024 16:04:59,4m - 47.613s,PASSED
"callTestCase(findTestCase(""Reusable_Functions/Fullscreen""), [:], CONTINUE_ON_FAILURE)",Chrome 120.0.0.0,,,17-01-2024 16:04:59,17-01-2024 16:05:04,4.831s,PASSED
,,,,,,,
Test Cases/Spend Monitoring/test_daily_spend_monitoring_tab,Chrome 120.0.0.0,,,17-01-2024 16:05:04,17-01-2024 16:05:05,1.485s,PASSED
"click(findTestObject(""Object Repository/Page_Daily_Spend_Monitoring_Tab/Page_/li_Spend Monitoring""))",Chrome 120.0.0.0,,,17-01-2024 16:05:04,17-01-2024 16:05:04,0.354s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Daily_Spend_Monitoring_Tab/Page_/div_Daily Spends Monitoring Report""), ""Daily Spends Monitoring Report"")",Chrome 120.0.0.0,,,17-01-2024 16:05:04,17-01-2024 16:05:05,0.307s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Page_Daily_Spend_Monitoring_Tab/Page_/div_Daily Spends Monitoring Report""))",Chrome 120.0.0.0,,,17-01-2024 16:05:05,17-01-2024 16:05:05,0.312s,PASSED
