Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Campaign_report,Chrome 120.0.0.0,,,18-01-2024 15:39:22,18-01-2024 15:43:17,3m - 55.288s,FAILED
,,,,,,,
Test Cases/Campaign Report/test_verify_navigating_campaign_report,Chrome 120.0.0.0,,,18-01-2024 15:41:18,18-01-2024 15:42:46,1m - 28.331s,FAILED
"callTestCase(findTestCase(""Reusable_Functions/Login""), [:], CONTINUE_ON_FAILURE)",Chrome 120.0.0.0,,,18-01-2024 15:41:18,18-01-2024 15:42:46,1m - 27.786s,FAILED
"verifyElementClickable(findTestObject(""Object Repository/Page_Verify_Navigating_Campaign_Report/Page_/li_Campaign""))",Chrome 120.0.0.0,,,18-01-2024 15:42:46,18-01-2024 15:42:46,0.157s,FAILED
"click(findTestObject(""Object Repository/Page_Verify_Navigating_Campaign_Report/Page_/li_Campaign""))",Chrome 120.0.0.0,,,18-01-2024 15:42:46,18-01-2024 15:42:46,0.130s,FAILED
"verifyElementText(findTestObject(""Object Repository/Page_Verify_Navigating_Campaign_Report/Page_/p_Campaign Analytics""), ""Campaign Analytics"")",Chrome 120.0.0.0,,,18-01-2024 15:42:46,18-01-2024 15:42:46,0.145s,FAILED
"verifyElementPresent(findTestObject(""Object Repository/Page_Verify_Navigating_Campaign_Report/Page_/p_Campaign Analytics""), 0)",Chrome 120.0.0.0,,,18-01-2024 15:42:46,18-01-2024 15:42:46,0.078s,FAILED
,,,,,,,
Test Cases/Campaign Report/test_camapign_conversions_tab,Chrome 120.0.0.0,,,18-01-2024 15:42:47,18-01-2024 15:42:48,0.259s,FAILED
"verifyElementText(findTestObject(""Object Repository/Page_Campaign_Conversions_Tab/Page_/div_Campaign Conversions""), ""Campaign Conversions"")",Chrome 120.0.0.0,,,18-01-2024 15:42:47,18-01-2024 15:42:47,0.092s,FAILED
"verifyElementPresent(findTestObject(""Object Repository/Page_Campaign_Conversions_Tab/Page_/div_Campaign Conversions""), 0)",Chrome 120.0.0.0,,,18-01-2024 15:42:47,18-01-2024 15:42:48,0.050s,FAILED
"click(findTestObject(""Object Repository/Page_Campaign_Conversions_Tab/Page_/div_Campaign Conversions""))",Chrome 120.0.0.0,,,18-01-2024 15:42:48,18-01-2024 15:42:48,0.079s,FAILED
,,,,,,,
Test Cases/Campaign Report/test_campaign_conversions_calender,Chrome 120.0.0.0,,,18-01-2024 15:42:50,18-01-2024 15:42:50,0.627s,FAILED
"click(findTestObject(""Object Repository/Page_Campaign_Conversion_Calender/Page_/div_Campaign Conversions""))",Chrome 120.0.0.0,,,18-01-2024 15:42:50,18-01-2024 15:42:50,0.075s,FAILED
"click(findTestObject(""Object Repository/Page_Campaign_Conversion_Calender/Page_/svg_mat-datepicker-toggle-default-icon ng-s_f1b13c""))",Chrome 120.0.0.0,,,18-01-2024 15:42:50,18-01-2024 15:42:50,0.067s,FAILED
"verifyElementClickable(findTestObject(""Object Repository/Page_Campaign_Conversion_Calender/Page_/button_mat-focus-indicator mat-calendar-pre_09dfc7""))",Chrome 120.0.0.0,,,18-01-2024 15:42:50,18-01-2024 15:42:50,0.070s,FAILED
"verifyElementClickable(findTestObject(""Object Repository/Page_Campaign_Conversion_Calender/Page_/button_mat-focus-indicator mat-calendar-pre_09dfc7""))",Chrome 120.0.0.0,,,18-01-2024 15:42:50,18-01-2024 15:42:50,0.073s,FAILED
"click(findTestObject(""Object Repository/Page_Campaign_Conversion_Calender/Page_/button_mat-focus-indicator mat-calendar-pre_09dfc7""))",Chrome 120.0.0.0,,,18-01-2024 15:42:50,18-01-2024 15:42:50,0.077s,FAILED
"click(findTestObject(""Object Repository/Page_Campaign_Conversion_Calender/Page_/button_mat-focus-indicator mat-calendar-pre_09dfc7""))",Chrome 120.0.0.0,,,18-01-2024 15:42:50,18-01-2024 15:42:50,0.080s,FAILED
"click(findTestObject(""Object Repository/Page_Campaign_Conversion_Calender/Page_/div_1""))",Chrome 120.0.0.0,,,18-01-2024 15:42:50,18-01-2024 15:42:50,0.079s,FAILED
"click(findTestObject(""Object Repository/Page_Campaign_Conversion_Calender/Page_/div_30""))",Chrome 120.0.0.0,,,18-01-2024 15:42:50,18-01-2024 15:42:50,0.082s,FAILED
,,,,,,,
Test Cases/Campaign Report/test_campaign_conversions_verify_channel,Chrome 120.0.0.0,,,18-01-2024 15:42:52,18-01-2024 15:42:53,0.464s,FAILED
"verifyElementPresent(findTestObject(""Object Repository/Page_Campaign_Conversions_Verify_Channel/Page_/div_Select Channel""), 0)",Chrome 120.0.0.0,,,18-01-2024 15:42:52,18-01-2024 15:42:52,0.053s,FAILED
"verifyElementText(findTestObject(""Object Repository/Page_Campaign_Conversions_Verify_Channel/Page_/div_Select Channel""), ""Select Channel"")",Chrome 120.0.0.0,,,18-01-2024 15:42:52,18-01-2024 15:42:52,0.072s,FAILED
"verifyElementClickable(findTestObject(""Object Repository/Page_Campaign_Conversions_Verify_Channel/Page_/span_ng-arrow-wrapper""))",Chrome 120.0.0.0,,,18-01-2024 15:42:52,18-01-2024 15:42:52,0.065s,FAILED
"callTestCase(findTestCase(""Reusable_Functions/Channel_dropdown_verify""), [:], CONTINUE_ON_FAILURE)",Chrome 120.0.0.0,,,18-01-2024 15:42:52,18-01-2024 15:42:53,0.255s,FAILED
,,,,,,,
Test Cases/Campaign Report/test_campaign_conversions_select_channel_dropdown,Chrome 120.0.0.0,,,18-01-2024 15:43:00,18-01-2024 15:43:03,2.572s,FAILED
"callTestCase(findTestCase(""Reusable_Functions/Select_Channel_dropdown""), [:], CONTINUE_ON_FAILURE)",Chrome 120.0.0.0,,,18-01-2024 15:43:00,18-01-2024 15:43:03,2.524s,FAILED
,,,,,,,
Test Cases/Campaign Report/test_campaign_conversions_verify_businessline,Chrome 120.0.0.0,,,18-01-2024 15:43:04,18-01-2024 15:43:05,0.594s,FAILED
"verifyElementText(findTestObject(""Object Repository/Page_Campaign_Conversions_Verify_Businessline/Page_/div_Select Businessline""), ""Select Businessline"")",Chrome 120.0.0.0,,,18-01-2024 15:43:04,18-01-2024 15:43:04,0.052s,FAILED
"verifyElementPresent(findTestObject(""Object Repository/Page_Campaign_Conversions_Verify_Businessline/Page_/div_Select Businessline""), 0)",Chrome 120.0.0.0,,,18-01-2024 15:43:04,18-01-2024 15:43:04,0.033s,FAILED
"verifyElementClickable(findTestObject(""Object Repository/Page_Campaign_Conversions_Verify_Businessline/Page_/span_ng-arrow-wrapper""))",Chrome 120.0.0.0,,,18-01-2024 15:43:04,18-01-2024 15:43:05,0.055s,FAILED
"callTestCase(findTestCase(""Reusable_Functions/Businessline_dropdown_verify""), [:], CONTINUE_ON_FAILURE)",Chrome 120.0.0.0,,,18-01-2024 15:43:05,18-01-2024 15:43:05,0.439s,FAILED
,,,,,,,
Test Cases/Campaign Report/test_campaign_conversions_select_businessline_dropdown,Chrome 120.0.0.0,,,18-01-2024 15:43:12,18-01-2024 15:43:15,2.357s,FAILED
"callTestCase(findTestCase(""Reusable_Functions/Select_Businessline_Dropdown""), [:], CONTINUE_ON_FAILURE)",Chrome 120.0.0.0,,,18-01-2024 15:43:12,18-01-2024 15:43:15,2.337s,FAILED
,,,,,,,
Test Cases/Campaign Report/test_campaign_conversions_verify_status,Chrome 120.0.0.0,,,18-01-2024 15:43:22,18-01-2024 15:43:24,2.391s,FAILED
"verifyElementText(findTestObject(""Object Repository/Page_Campaign_Conversions_Verify_Status/Page_/div_Select Campaign Status""), ""Select Campaign Status"")",Chrome 120.0.0.0,,,18-01-2024 15:43:22,18-01-2024 15:43:22,0.069s,FAILED
"verifyElementPresent(findTestObject(""Object Repository/Page_Campaign_Conversions_Verify_Status/Page_/div_Select Campaign Status""), 0)",Chrome 120.0.0.0,,,18-01-2024 15:43:22,18-01-2024 15:43:22,0.030s,FAILED
"verifyElementClickable(findTestObject(""Object Repository/Page_Campaign_Conversions_Verify_Status/Page_/span_ng-arrow-wrapper""))",Chrome 120.0.0.0,,,18-01-2024 15:43:22,18-01-2024 15:43:22,0.052s,FAILED
"callTestCase(findTestCase(""Reusable_Functions/Campaign_status_dropdown_verify""), [:], CONTINUE_ON_FAILURE)",Chrome 120.0.0.0,,,18-01-2024 15:43:22,18-01-2024 15:43:24,2.214s,FAILED
,,,,,,,
