Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
performance_report,Chrome 120.0.0.0,,,18-01-2024 22:00:16,18-01-2024 22:30:59,30m - 43.358s,PASSED
,,,,,,,
Test Cases/Performance Report/test_verify_navigating_performance_report,Chrome 120.0.0.0,,,18-01-2024 22:00:16,18-01-2024 22:00:30,13.669s,PASSED
"callTestCase(findTestCase(""Reusable_Functions/Login""), [:], CONTINUE_ON_FAILURE)",Chrome 120.0.0.0,,,18-01-2024 22:00:16,18-01-2024 22:00:23,6.877s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Page_Verify_Navigating_Performance_Report/Page_/li_Performance""))",Chrome 120.0.0.0,,,18-01-2024 22:00:23,18-01-2024 22:00:28,4.778s,PASSED
"click(findTestObject(""Object Repository/Page_Verify_Navigating_Performance_Report/Page_/li_Performance""))",Chrome 120.0.0.0,,,18-01-2024 22:00:28,18-01-2024 22:00:29,0.492s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Verify_Navigating_Performance_Report/Page_/p_Performance Report""), ""Performance Report"")",Chrome 120.0.0.0,,,18-01-2024 22:00:29,18-01-2024 22:00:30,1.221s,PASSED
,,,,,,,
Test Cases/Performance Report/test_weekly_buyer_cac_tab,Chrome 120.0.0.0,,,18-01-2024 22:00:30,18-01-2024 22:00:33,3.477s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Weekly_Buyer_CAC_Tab/Page_/div_Weekly Buyer CAC Report""), ""Weekly Buyer CAC Report"")",Chrome 120.0.0.0,,,18-01-2024 22:00:30,18-01-2024 22:00:30,0.402s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Page_Weekly_Buyer_CAC_Tab/Page_/div_Weekly Buyer CAC Report""))",Chrome 120.0.0.0,,,18-01-2024 22:00:30,18-01-2024 22:00:31,0.399s,PASSED
"click(findTestObject(""Object Repository/Page_Weekly_Buyer_CAC_Tab/Page_/div_Weekly Buyer CAC Report""))",Chrome 120.0.0.0,,,18-01-2024 22:00:31,18-01-2024 22:00:31,0.469s,PASSED
delay(2),Chrome 120.0.0.0,,,18-01-2024 22:00:31,18-01-2024 22:00:33,2.037s,PASSED
,,,,,,,
Test Cases/Performance Report/test_weely_buyer_cac_calender,Chrome 120.0.0.0,,,18-01-2024 22:00:33,18-01-2024 22:02:47,2m - 13.301s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Page_Weekly_Buyer_CAC_Calender/Page_/mat-icon_clear""))",Chrome 120.0.0.0,,,18-01-2024 22:00:33,18-01-2024 22:00:34,0.429s,PASSED
"click(findTestObject(""Object Repository/Page_Weekly_Buyer_CAC_Calender/Page_/mat-icon_clear""))",Chrome 120.0.0.0,,,18-01-2024 22:00:34,18-01-2024 22:00:34,0.477s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Page_Weekly_Buyer_CAC_Calender/Page_/svg_mat-datepicker-toggle-default-icon ng-s_f1b13c""))",Chrome 120.0.0.0,,,18-01-2024 22:00:34,18-01-2024 22:01:06,31.487s,PASSED
"click(findTestObject(""Object Repository/Page_Weekly_Buyer_CAC_Calender/Page_/svg_mat-datepicker-toggle-default-icon ng-s_f1b13c""))",Chrome 120.0.0.0,,,18-01-2024 22:01:06,18-01-2024 22:01:38,31.886s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Page_Weekly_Buyer_CAC_Calender/Page_/polygon""))",Chrome 120.0.0.0,,,18-01-2024 22:01:38,18-01-2024 22:02:09,31.680s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Page_Weekly_Buyer_CAC_Calender/Page_/button_mat-focus-indicator mat-calendar-pre_09dfc7""))",Chrome 120.0.0.0,,,18-01-2024 22:02:09,18-01-2024 22:02:10,0.314s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Page_Weekly_Buyer_CAC_Calender/Page_/button_mat-focus-indicator mat-calendar-pre_09dfc7""))",Chrome 120.0.0.0,,,18-01-2024 22:02:10,18-01-2024 22:02:10,0.358s,PASSED
"click(findTestObject(""Object Repository/Page_Weekly_Buyer_CAC_Calender/Page_/polygon""))",Chrome 120.0.0.0,,,18-01-2024 22:02:10,18-01-2024 22:02:42,31.623s,PASSED
"click(findTestObject(""Object Repository/Page_Weekly_Buyer_CAC_Calender/Page_/span_2016  2039""))",Chrome 120.0.0.0,,,18-01-2024 22:02:42,18-01-2024 22:02:43,1.049s,PASSED
"click(findTestObject(""Object Repository/Page_Weekly_Buyer_CAC_Calender/Page_/button_mat-focus-indicator mat-calendar-pre_09dfc7""))",Chrome 120.0.0.0,,,18-01-2024 22:02:43,18-01-2024 22:02:44,1.114s,PASSED
"click(findTestObject(""Object Repository/Page_Weekly_Buyer_CAC_Calender/Page_/button_mat-focus-indicator mat-calendar-pre_09dfc7""))",Chrome 120.0.0.0,,,18-01-2024 22:02:44,18-01-2024 22:02:45,1.137s,PASSED
"click(findTestObject(""Object Repository/Page_Weekly_Buyer_CAC_Calender/Page_/div_1""))",Chrome 120.0.0.0,,,18-01-2024 22:02:45,18-01-2024 22:02:46,1.054s,PASSED
"click(findTestObject(""Object Repository/Page_Weekly_Buyer_CAC_Calender/Page_/div_31""))",Chrome 120.0.0.0,,,18-01-2024 22:02:46,18-01-2024 22:02:47,0.523s,PASSED
,,,,,,,
Test Cases/Performance Report/test_weekly_buyer_cac_table_title,Chrome 120.0.0.0,,,18-01-2024 22:02:47,18-01-2024 22:02:49,2.802s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Weekly_Buyer_CAC_Table_Title/Page_/h2_Buyer CAC""), ""Buyer CAC"")",Chrome 120.0.0.0,,,18-01-2024 22:02:47,18-01-2024 22:02:48,1.333s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Weekly_Buyer_CAC_Table_Title/Page_/div_Weeks""), ""Weeks"")",Chrome 120.0.0.0,,,18-01-2024 22:02:48,18-01-2024 22:02:48,0.379s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Weekly_Buyer_CAC_Table_Title/Page_/div_Buyer Spend""), ""Buyer Spend"")",Chrome 120.0.0.0,,,18-01-2024 22:02:48,18-01-2024 22:02:49,0.316s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Weekly_Buyer_CAC_Table_Title/Page_/div_Number of Project""), ""Number of Project"")",Chrome 120.0.0.0,,,18-01-2024 22:02:49,18-01-2024 22:02:49,0.324s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Weekly_Buyer_CAC_Table_Title/Page_/div_Buyer CAC""), ""Buyer CAC"")",Chrome 120.0.0.0,,,18-01-2024 22:02:49,18-01-2024 22:02:49,0.389s,PASSED
,,,,,,,
Test Cases/Performance Report/test_weekly_buyer_cac_ascending_decending,Chrome 120.0.0.0,,,18-01-2024 22:02:49,18-01-2024 22:02:55,5.879s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Page_Weekly_Buyer_CAC_Ascending_Decending/Page_/div_mat-sort-header-stem ng-tns-c99-11_1""))",Chrome 120.0.0.0,,,18-01-2024 22:02:49,18-01-2024 22:02:50,0.350s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Page_Weekly_Buyer_CAC_Ascending_Decending/Page_/div_mat-sort-header-stem ng-tns-c99-12_1""))",Chrome 120.0.0.0,,,18-01-2024 22:02:50,18-01-2024 22:02:50,0.398s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Page_Weekly_Buyer_CAC_Ascending_Decending/Page_/div_mat-sort-header-stem ng-tns-c99-13_1""))",Chrome 120.0.0.0,,,18-01-2024 22:02:50,18-01-2024 22:02:51,0.405s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Page_Weekly_Buyer_CAC_Ascending_Decending/Page_/div_mat-sort-header-stem ng-tns-c99-14_1""))",Chrome 120.0.0.0,,,18-01-2024 22:02:51,18-01-2024 22:02:51,0.423s,PASSED
"click(findTestObject(""Object Repository/Page_Weekly_Buyer_CAC_Ascending_Decending/Page_/div_mat-sort-header-arrow ng-trigger ng-tri_4c1f59""))",Chrome 120.0.0.0,,,18-01-2024 22:02:51,18-01-2024 22:02:51,0.404s,PASSED
"click(findTestObject(""Object Repository/Page_Weekly_Buyer_CAC_Ascending_Decending/Page_/div_mat-sort-header-arrow ng-trigger ng-tri_4c1f59_1""))",Chrome 120.0.0.0,,,18-01-2024 22:02:51,18-01-2024 22:02:52,0.507s,PASSED
"click(findTestObject(""Object Repository/Page_Weekly_Buyer_CAC_Ascending_Decending/Page_/div_mat-sort-header-arrow ng-trigger ng-tri_b60667""))",Chrome 120.0.0.0,,,18-01-2024 22:02:52,18-01-2024 22:02:52,0.502s,PASSED
"click(findTestObject(""Object Repository/Page_Weekly_Buyer_CAC_Ascending_Decending/Page_/div_mat-sort-header-arrow ng-trigger ng-tri_b60667_1""))",Chrome 120.0.0.0,,,18-01-2024 22:02:52,18-01-2024 22:02:53,0.493s,PASSED
"click(findTestObject(""Object Repository/Page_Weekly_Buyer_CAC_Ascending_Decending/Page_/div_mat-sort-header-stem ng-tns-c99-13""))",Chrome 120.0.0.0,,,18-01-2024 22:02:53,18-01-2024 22:02:54,0.544s,PASSED
"click(findTestObject(""Object Repository/Page_Weekly_Buyer_CAC_Ascending_Decending/Page_/div_mat-sort-header-stem ng-tns-c99-13_1_2""))",Chrome 120.0.0.0,,,18-01-2024 22:02:54,18-01-2024 22:02:54,0.627s,PASSED
"click(findTestObject(""Object Repository/Page_Weekly_Buyer_CAC_Ascending_Decending/Page_/div_mat-sort-header-stem ng-tns-c99-14""))",Chrome 120.0.0.0,,,18-01-2024 22:02:54,18-01-2024 22:02:55,0.648s,PASSED
"click(findTestObject(""Object Repository/Page_Weekly_Buyer_CAC_Ascending_Decending/Page_/div_mat-sort-header-stem ng-tns-c99-14_1_2""))",Chrome 120.0.0.0,,,18-01-2024 22:02:55,18-01-2024 22:02:55,0.496s,PASSED
,,,,,,,
Test Cases/Performance Report/test_weekly_buyer_cac_items_dropdown,Chrome 120.0.0.0,,,18-01-2024 22:02:55,18-01-2024 22:03:01,6.190s,PASSED
"callTestCase(findTestCase(""Reusable_Functions/Items_per_page""), [:], CONTINUE_ON_FAILURE)",Chrome 120.0.0.0,,,18-01-2024 22:02:55,18-01-2024 22:03:01,6.099s,PASSED
,,,,,,,
Test Cases/Performance Report/test_weekly_seller_cac_tab,Chrome 120.0.0.0,,,18-01-2024 22:03:01,18-01-2024 22:03:03,1.441s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Weekly_Seller_CAC_Tab/Page_/div_Weekly Seller CAC Report""), ""Weekly Seller CAC Report"")",Chrome 120.0.0.0,,,18-01-2024 22:03:02,18-01-2024 22:03:02,0.580s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Page_Weekly_Seller_CAC_Tab/Page_/div_Weekly Seller CAC Report""))",Chrome 120.0.0.0,,,18-01-2024 22:03:02,18-01-2024 22:03:02,0.336s,PASSED
"click(findTestObject(""Object Repository/Page_Weekly_Seller_CAC_Tab/Page_/div_Weekly Seller CAC Report""))",Chrome 120.0.0.0,,,18-01-2024 22:03:02,18-01-2024 22:03:03,0.453s,PASSED
,,,,,,,
Test Cases/Performance Report/test_weekly_seller_cac_calender,Chrome 120.0.0.0,,,18-01-2024 22:03:03,18-01-2024 22:07:52,4m - 49.044s,PASSED
"callTestCase(findTestCase(""Reusable_Functions/Calender""), [:], CONTINUE_ON_FAILURE)",Chrome 120.0.0.0,,,18-01-2024 22:03:03,18-01-2024 22:07:52,4m - 48.950s,PASSED
,,,,,,,
Test Cases/Performance Report/test_weekly_seller_cac_table_title,Chrome 120.0.0.0,,,18-01-2024 22:07:52,18-01-2024 22:07:55,2.864s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Weekly_Seller_CAC_Table_Title/Page_/h2_Seller CAC""), ""Seller CAC"")",Chrome 120.0.0.0,,,18-01-2024 22:07:52,18-01-2024 22:07:53,1.196s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Weekly_Seller_CAC_Table_Title/Page_/div_Weeks""), ""Weeks"")",Chrome 120.0.0.0,,,18-01-2024 22:07:53,18-01-2024 22:07:54,0.404s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Weekly_Seller_CAC_Table_Title/Page_/div_Seller Spend""), ""Seller Spend"")",Chrome 120.0.0.0,,,18-01-2024 22:07:54,18-01-2024 22:07:54,0.411s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Weekly_Seller_CAC_Table_Title/Page_/div_Number of Applications""), ""Number of Applications"")",Chrome 120.0.0.0,,,18-01-2024 22:07:54,18-01-2024 22:07:54,0.392s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Weekly_Seller_CAC_Table_Title/Page_/div_Seller CAC""), ""Seller CAC"")",Chrome 120.0.0.0,,,18-01-2024 22:07:54,18-01-2024 22:07:55,0.393s,PASSED
,,,,,,,
Test Cases/Performance Report/test_weekly_seller_cac_asending_decending,Chrome 120.0.0.0,,,18-01-2024 22:07:55,18-01-2024 22:08:01,5.854s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Page_Weekly_Seller_CAC_Ascending_Decending/Page_/div_mat-sort-header-arrow ng-trigger ng-tri_de4702""))",Chrome 120.0.0.0,,,18-01-2024 22:07:55,18-01-2024 22:07:55,0.371s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Page_Weekly_Seller_CAC_Ascending_Decending/Page_/div_mat-sort-header-arrow ng-trigger ng-tri_506a70""))",Chrome 120.0.0.0,,,18-01-2024 22:07:55,18-01-2024 22:07:56,0.405s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Page_Weekly_Seller_CAC_Ascending_Decending/Page_/div_mat-sort-header-arrow ng-trigger ng-tri_6cc990""))",Chrome 120.0.0.0,,,18-01-2024 22:07:56,18-01-2024 22:07:56,0.408s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Page_Weekly_Seller_CAC_Ascending_Decending/Page_/div_mat-sort-header-arrow ng-trigger ng-tri_a7da72""))",Chrome 120.0.0.0,,,18-01-2024 22:07:56,18-01-2024 22:07:57,0.413s,PASSED
"click(findTestObject(""Object Repository/Page_Weekly_Seller_CAC_Ascending_Decending/Page_/div_mat-sort-header-arrow ng-trigger ng-tri_c2f568""))",Chrome 120.0.0.0,,,18-01-2024 22:07:57,18-01-2024 22:07:57,0.499s,PASSED
"click(findTestObject(""Object Repository/Page_Weekly_Seller_CAC_Ascending_Decending/Page_/div_mat-sort-header-arrow ng-trigger ng-tri_c2f568_1""))",Chrome 120.0.0.0,,,18-01-2024 22:07:57,18-01-2024 22:07:57,0.390s,PASSED
"click(findTestObject(""Object Repository/Page_Weekly_Seller_CAC_Ascending_Decending/Page_/div_mat-sort-header-pointer-right ng-tns-c9_150dad""))",Chrome 120.0.0.0,,,18-01-2024 22:07:57,18-01-2024 22:07:58,0.601s,PASSED
"click(findTestObject(""Object Repository/Page_Weekly_Seller_CAC_Ascending_Decending/Page_/div_mat-sort-header-pointer-right ng-tns-c9_150dad_1""))",Chrome 120.0.0.0,,,18-01-2024 22:07:58,18-01-2024 22:07:58,0.470s,PASSED
"click(findTestObject(""Object Repository/Page_Weekly_Seller_CAC_Ascending_Decending/Page_/div_mat-sort-header-arrow ng-trigger ng-tri_52b0b7""))",Chrome 120.0.0.0,,,18-01-2024 22:07:58,18-01-2024 22:07:59,0.631s,PASSED
"click(findTestObject(""Object Repository/Page_Weekly_Seller_CAC_Ascending_Decending/Page_/div_mat-sort-header-arrow ng-trigger ng-tri_52b0b7_1""))",Chrome 120.0.0.0,,,18-01-2024 22:07:59,18-01-2024 22:08:00,0.508s,PASSED
